PtZr -0.99 Kubaschewski
LiNbO3 -2.774 Pozdnyakova\cite{Pozdnyakova2002}
EuF3 -4.195 Kubaschewski
CeO2 -3.767 Baker\cite{Baker1971}
AlB2 -0.055 VanSetten\cite{VanSetten2009}
InN -0.716 Ranade\cite{Ranade2011}
MnS -1.110 Kubaschewski
Re2Th -0.601 Kubaschewski
MnTe -0.565 Kubaschewski
MnSe -0.806 Kubaschewski
Eu2O3 -3.446 Kubaschewski
Ba2Sn -1.301 Kubaschewski
Si2Th3 -0.590 Kubaschewski
